etiqueta,frame,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip
subject_02,1,"[639.7097778320312, 211.5396270751953, 0.04794125258922577]","[637.9685668945312, 225.84046936035156, 0.031901031732559204]","[637.9685668945312, 224.6487274169922, 0.017258817330002785]","[635.6468505859375, 246.69581604003906, 0.02638404071331024]","[635.6468505859375, 246.69581604003906, 0.023297548294067383]","[639.7097778320312, 255.63380432128906, 0.044226791709661484]","[639.7097778320312, 255.63380432128906, 0.07864857465028763]","[638.5489501953125, 240.1412811279297, 0.00796760804951191]","[639.1293334960938, 227.0321807861328, 0.0056814635172486305]","[635.6468505859375, 247.88755798339844, 0.014158262871205807]","[635.06640625, 247.2916717529297, 0.015747208148241043]","[639.7097778320312, 258.0173034667969, 0.05353499948978424]","[639.7097778320312, 256.2297058105469, 0.04459170997142792]","[637.9685668945312, 225.24459838867188]","[638.839111328125, 233.58673095703125]"
subject_02,2,"[639.590576171875, 145.4894256591797, 0.015704629942774773]","[639.590576171875, 198.8383026123047, 0.015119647607207298]","[639.590576171875, 200.0371551513672, 0.02619183249771595]","[630.662841796875, 241.3975067138672, 0.04461995139718056]","[632.4483642578125, 243.7952117919922, 0.019991643726825714]","[637.2098388671875, 287.55328369140625, 0.03526844456791878]","[637.2098388671875, 285.7550048828125, 0.03446099907159805]","[639.590576171875, 198.8383026123047, 0.025097640231251717]","[639.590576171875, 199.43771362304688, 0.04455623775720596]","[632.4483642578125, 241.3975067138672, 0.041529372334480286]","[631.853271484375, 241.3975067138672, 0.051976386457681656]","[637.2098388671875, 288.1527099609375, 0.05151794105768204]","[636.6146240234375, 288.1527099609375, 0.04385588690638542]","[639.590576171875, 199.43772888183594]","[639.590576171875, 199.13800048828125]"
subject_02,3,"[634.8236083984375, 118.39183807373047, 0.10513061285018921]","[639.5758666992188, 131.56053161621094, 0.02423163689672947]","[635.4176635742188, 128.56764221191406, 0.05759984999895096]","[638.3878173828125, 149.51783752441406, 0.05528010427951813]","[638.3878173828125, 149.51783752441406, 0.053974270820617676]","[639.5758666992188, 178.84811401367188, 0.11446777731180191]","[637.7937622070312, 178.24954223632812, 0.05737008526921272]","[639.5758666992188, 188.42535400390625, 0.11716102808713913]","[639.5758666992188, 187.22817993164062, 0.08212653547525406]","[628.8833618164062, 243.4944305419922, 0.11214685440063477]","[628.8833618164062, 243.4944305419922, 0.13371305167675018]","[624.1310424804688, 293.17633056640625, 0.12415057420730591]","[624.1310424804688, 291.97918701171875, 0.11703923344612122]","[637.4967651367188, 130.0640869140625]","[639.5758666992188, 187.82676696777344]"
subject_02,4,"[629.4949340820312, 122.17555236816406, 0.22876644134521484]","[639.6517944335938, 142.53903198242188, 0.05476396158337593]","[637.2619018554688, 137.74761962890625, 0.047313109040260315]","[636.6644287109375, 159.30894470214844, 0.0740174725651741]","[635.4695434570312, 157.5121612548828, 0.042791638523340225]","[634.8720703125, 137.14869689941406, 0.08219097554683685]","[634.2745971679688, 137.74761962890625, 0.057430364191532135]","[639.6517944335938, 192.84877014160156, 0.15111856162548065]","[637.859375, 191.052001953125, 0.08662331849336624]","[626.507568359375, 247.94993591308594, 0.11676023155450821]","[625.3126831054688, 247.94993591308594, 0.17658963799476624]","[610.9735717773438, 293.4682922363281, 0.1893160492181778]","[611.5709838867188, 292.869384765625, 0.17048677802085876]","[638.4568481445312, 140.14332580566406]","[638.755615234375, 191.95037841796875]"
subject_02,5,"[629.5303344726562, 120.69801330566406, 0.21274283528327942]","[639.652099609375, 142.2686004638672, 0.05557118356227875]","[637.2704467773438, 137.47512817382812, 0.04814213886857033]","[636.6751098632812, 158.446533203125, 0.07046086341142654]","[636.0797119140625, 157.2481689453125, 0.047268096357584]","[634.8888549804688, 136.87594604492188, 0.08927731215953827]","[634.2935180664062, 137.47512817382812, 0.05858732387423515]","[639.652099609375, 192.5999755859375, 0.15039141476154327]","[637.8659057617188, 190.80242919921875, 0.08811533451080322]","[626.5533447265625, 247.72479248046875, 0.11680659651756287]","[625.3624877929688, 248.32398986816406, 0.17746999859809875]","[611.072998046875, 293.2626953125, 0.18810535967350006]","[611.6683959960938, 292.66351318359375, 0.1696752905845642]","[638.4613037109375, 139.87185668945312]","[638.759033203125, 191.70120239257812]"
subject_02,6,"[626.5294189453125, 121.86431121826172, 0.3448038101196289]","[637.8646850585938, 139.82936096191406, 0.09835916757583618]","[634.8817749023438, 137.43402099609375, 0.08388645946979523]","[633.6884765625, 164.98045349121094, 0.11499714106321335]","[633.0919189453125, 164.98045349121094, 0.047784943133592606]","[631.8987426757812, 138.63169860839844, 0.06560550630092621]","[630.70556640625, 139.23052978515625, 0.04334760084748268]","[637.8646850585938, 190.7303466796875, 0.1365392953157425]","[634.8817749023438, 192.52685546875, 0.07710766047239304]","[622.9497680664062, 247.02085876464844, 0.11751478910446167]","[621.1600341796875, 248.21853637695312, 0.1362103819847107]","[602.66552734375, 293.13116455078125, 0.1966555416584015]","[603.2621459960938, 291.3346862792969, 0.1942451149225235]","[636.3732299804688, 138.63168334960938]","[636.3732299804688, 191.62860107421875]"
subject_02,7,"[622.5781860351562, 121.05905151367188, 0.41663333773612976]","[639.2719116210938, 142.01084899902344, 0.2114473581314087]","[629.136474609375, 139.01773071289062, 0.1293535679578781]","[634.5022583007812, 164.75851440429688, 0.05403504520654678]","[633.9060668945312, 167.75161743164062, 0.04666148126125336]","[639.2719116210938, 206.06346130371094, 0.3023059070110321]","[639.2719116210938, 206.06346130371094, 0.02753046713769436]","[635.0985107421875, 197.08413696289062, 0.06463240832090378]","[630.328857421875, 194.0910186767578, 0.09316504746675491]","[617.8085327148438, 246.17117309570312, 0.15512427687644958]","[616.0199584960938, 249.762939453125, 0.20665839314460754]","[598.7300415039062, 294.0610046386719, 0.22121170163154602]","[599.9224243164062, 292.8637390136719, 0.20724259316921234]","[634.2042236328125, 140.5142822265625]","[632.7136840820312, 195.58758544921875]"
subject_02,8,"[617.4865112304688, 120.19242095947266, 0.6322019100189209]","[639.6467895507812, 142.94378662109375, 0.3478136360645294]","[623.475830078125, 138.75274658203125, 0.14926807582378387]","[639.6467895507812, 175.87339782714844, 0.36821189522743225]","[630.0640258789062, 172.2810821533203, 0.04472001641988754]","[634.8554077148438, 203.41455078125, 0.40565556287765503]","[634.8554077148438, 202.81582641601562, 0.10572569072246552]","[639.6467895507812, 197.4273223876953, 0.04451991245150566]","[624.6736450195312, 195.03245544433594, 0.07571103423833847]","[611.4972534179688, 248.3185577392578, 0.22764289379119873]","[610.2993774414062, 250.11471557617188, 0.2475111186504364]","[598.3208618164062, 296.2161865234375, 0.20626483857631683]","[598.9197998046875, 296.2161865234375, 0.24556441605091095]","[631.561279296875, 140.8482666015625]","[632.1602172851562, 196.22988891601562]"
subject_02,9,"[613.2164306640625, 118.28543853759766, 0.43214038014411926]","[636.47705078125, 140.4222412109375, 0.2110767513513565]","[619.777099609375, 139.82394409179688, 0.1584448516368866]","[639.459228515625, 173.92657470703125, 0.3804141581058502]","[623.9520874023438, 173.32830810546875, 0.04722515121102333]","[630.5128173828125, 203.24290466308594, 0.6306302547454834]","[614.4093017578125, 196.6616973876953, 0.053409699350595474]","[636.47705078125, 199.65313720703125, 0.06432711333036423]","[617.9878540039062, 196.6616973876953, 0.08775164186954498]","[607.2521362304688, 248.7130889892578, 0.12781387567520142]","[607.2521362304688, 249.3113555908203, 0.21260389685630798]","[597.1129150390625, 297.17474365234375, 0.1985364854335785]","[597.7093505859375, 297.17474365234375, 0.2533361613750458]","[628.1270751953125, 140.1230926513672]","[627.232421875, 198.15740966796875]"
subject_02,10,"[608.5629272460938, 119.24425506591797, 0.5398661494255066]","[631.3173828125, 141.4152374267578, 0.17968639731407166]","[615.1497192382812, 140.216796875, 0.10471989214420319]","[634.91015625, 176.16973876953125, 0.3395428955554962]","[620.5388793945312, 171.9752197265625, 0.043482016772031784]","[626.5269165039062, 202.5352325439453, 0.598732590675354]","[610.3593139648438, 194.74542236328125, 0.05198172479867935]","[628.3233642578125, 197.1422882080078, 0.035937368869781494]","[612.1557006835938, 197.7415008544922, 0.08844107389450073]","[639.7006225585938, 253.4685516357422, 0.26729366183280945]","[602.5748901367188, 250.47247314453125, 0.23579823970794678]","[595.988037109375, 297.8105163574219, 0.15222467482089996]","[595.988037109375, 298.40972900390625, 0.24791814386844635]","[623.2335205078125, 140.81600952148438]","[620.239501953125, 197.44189453125]"
